component	package	version	namespace	command	capability	ui_status	limitation	custom_changes	scope	cli_source	ui_source
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack port set	Изменить — Edit Port меняет name/admin state/vNIC/port security/security groups; Allowed Address Pairs добавляются в деталях.	partial	Нет общего редактора CLI-свойств порта: fixed IP при update, QoS, binding profile/host, DNS, extra DHCP, NUMA и др.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/port.py#L965	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/ports/workflows.py#L303; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/ports/extensions/allowed_address_pairs/tables.py#L31
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack port show	Показать — Ports в деталях сети; Port Details, Delete Port.	yes	Список вложен в Network; административный вариант может видеть порты других проектов.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/port.py#L1221	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/ports/tables.py#L137; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/ports/views.py#L70
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack port unset	Снять параметры — Можно снять security groups и удалить allowed address pairs.	partial	Снятие binding profile, QoS, fixed IP, NUMA, host и hints не представлено.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/port.py#L1241	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/ports/workflows.py#L373; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/ports/extensions/allowed_address_pairs/tables.py#L55
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router add gateway	Нет UI управления несколькими external gateways.	no	CLI add/remove gateway требует external-gateway-multihoming. Обычные Set/Clear Gateway в UI соответствуют части router set/unset и не заменяют эти команды.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L1248	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/forms.py#L147; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L110
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router add port	Нет выбора существующего port для подключения к router.	no	Add Interface выбирает subnet и optional IP; вариант _add_interface_by_port создает новый порт, а не выбирает уже существующий CLI port.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L310	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/forms.py#L28; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/forms.py#L107
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router add route	Static Routes в деталях router: Add Static Route / Delete Static Routes.	yes	Нужен extraroute; UI работает через таблицу маршрутов, а не обещает одинаковую атомарность всех CLI-вариантов.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L360	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/extensions/extraroutes/tables.py#L26
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router add subnet	Router → Interfaces → Add Interface по subnet, optional IP.	yes	При явном IP UI создает новый port и подключает его.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L334	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/forms.py#L28; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/tables.py#L39
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router create	Создать — Create Router: name, admin state, external network/SNAT, DVR/HA/AZ при доступности.	yes	Flavor, NDP, QoS и другие расширенные CLI-поля не все представлены.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L462	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/forms.py#L34; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L257
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router delete	Удалить — Routers: список, Router Details, Delete Router.	yes	Удаление UI предварительно снимает интерфейсы; это отличается от прямого запроса delete API.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L641	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L257; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L36
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router list	Перечислить — Routers: список, Router Details, Delete Router.	yes	Удаление UI предварительно снимает интерфейсы; это отличается от прямого запроса delete API.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L683	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L257; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L36
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router remove gateway	Нет UI управления несколькими external gateways.	no	CLI add/remove gateway требует external-gateway-multihoming. Обычные Set/Clear Gateway в UI соответствуют части router set/unset и не заменяют эти команды.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L1316	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/forms.py#L147; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L110
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router remove port	Remove Interface у выбранного router port.	yes	Для gateway-порта UI вызывает удаление gateway; обычный интерфейс удаляется по port_id.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L827	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/tables.py#L52
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router remove route	Static Routes в деталях router: Add Static Route / Delete Static Routes.	yes	Нужен extraroute; UI работает через таблицу маршрутов, а не обещает одинаковую атомарность всех CLI-вариантов.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L409	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/extensions/extraroutes/tables.py#L26
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router remove subnet	Remove Interface удаляет интерфейс, соответствующий подсети.	partial	UI удаляет по port_id; выбор одной subnet из общего интерфейса нескольких IPv6 subnet не представлен.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L853	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/tables.py#L81
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router set	Изменить — Edit Router: name/admin state/DVR; Set Gateway задает внешнюю сеть/SNAT; отдельные действия меняют routes.	partial	HA update намеренно скрыт; нет общей формы multihoming, QoS, NDP, ECMP/BFD и остальных расширенных параметров.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L883	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/forms.py#L159; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/ports/forms.py#L147
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router show	Показать — Routers: список, Router Details, Delete Router.	yes	Удаление UI предварительно снимает интерфейсы; это отличается от прямого запроса delete API.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L1117	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L257; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L36
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router unset	Снять параметры — Clear Gateway и удаление Static Routes.	partial	Нет снятия QoS policy/тегов и управления выборочными multihomed gateways.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/router.py#L1153	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/tables.py#L124; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/routers/extensions/extraroutes/tables.py#L39
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router ndp proxy create	Создать — Создать: NDP proxy маршрутизатора.	no	Нет панели и формы NDP proxies.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/ndp_proxy.py#L39	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router ndp proxy delete	Удалить — Удалить: NDP proxy маршрутизатора.	no	Нет панели и формы NDP proxies.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/ndp_proxy.py#L103	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router ndp proxy list	Перечислить — Перечислить: NDP proxy маршрутизатора.	no	Нет панели и формы NDP proxies.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/ndp_proxy.py#L138	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router ndp proxy set	Изменить — Изменить: NDP proxy маршрутизатора.	no	Нет панели и формы NDP proxies.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/ndp_proxy.py#L233	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack router ndp proxy show	Показать — Показать: NDP proxy маршрутизатора.	no	Нет панели и формы NDP proxies.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/ndp_proxy.py#L270	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group create	Создать — Create/Edit Security Group: name и description.	partial	Нет выбора stateful/stateless и управления tags; создание для произвольного проекта не представлено формой проекта.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group.py#L102	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/forms.py#L36; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L113
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group delete	Удалить — Security Groups: список, Manage Rules/детали, Delete.	yes	Детали ориентированы на правила; полный JSON API не воспроизводится.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group.py#L196	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L113; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/views.py#L40
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group list	Перечислить — Security Groups: список, Manage Rules/детали, Delete.	yes	Детали ориентированы на правила; полный JSON API не воспроизводится.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group.py#L223	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L113; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/views.py#L40
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group set	Изменить — Create/Edit Security Group: name и description.	partial	Нет выбора stateful/stateless и управления tags; создание для произвольного проекта не представлено формой проекта.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group.py#L324	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/forms.py#L36; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L113
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group show	Показать — Security Groups: список, Manage Rules/детали, Delete.	yes	Детали ориентированы на правила; полный JSON API не воспроизводится.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group.py#L407	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L113; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/views.py#L40
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group unset	Снять параметры — CLI снимает tags security group.	no	UI name/description не является редактором tags; действия снятия тегов нет.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group.py#L437	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/forms.py#L36
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group rule create	Создать — Add Rule: protocol/ports/ICMP, direction, ethertype, CIDR или remote security group.	partial	Нет remote address group, которая доступна CLI; это существенный отдельный вид remote.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group_rule.py#L42	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/forms.py#L97
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group rule delete	Удалить — Manage Rules: список и параметры правил; Delete Rule.	yes	Просмотр конкретного правила обеспечивается строкой таблицы; remote address group не создается UI.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group_rule.py#L327	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L143; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group rule list	Перечислить — Manage Rules: список и параметры правил; Delete Rule.	yes	Просмотр конкретного правила обеспечивается строкой таблицы; remote address group не создается UI.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group_rule.py#L351	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L143; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack security group rule show	Показать — Manage Rules: список и параметры правил; Delete Rule.	yes	Просмотр конкретного правила обеспечивается строкой таблицы; remote address group не создается UI.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/security_group_rule.py#L571	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L143; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/security_groups/tables.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack default security group rule create	Создать — Создать: шаблон default security group rule.	no	Редактирование обычной security group с именем default не управляет этим API-ресурсом.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/default_security_group_rule.py#L38	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack default security group rule delete	Удалить — Удалить: шаблон default security group rule.	no	Редактирование обычной security group с именем default не управляет этим API-ресурсом.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/default_security_group_rule.py#L232	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack default security group rule list	Перечислить — Перечислить: шаблон default security group rule.	no	Редактирование обычной security group с именем default не управляет этим API-ресурсом.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/default_security_group_rule.py#L277	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack default security group rule show	Показать — Показать: шаблон default security group rule.	no	Редактирование обычной security group с именем default не управляет этим API-ресурсом.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/default_security_group_rule.py#L390	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet create	Создать — Create Subnet: CIDR либо существующий subnet pool, IPv4/IPv6, gateway, DHCP, DNS, routes, allocation pools.	yes	Нет полного набора CLI-полей, например service types, network segment и tags.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet.py#L291	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/workflows.py#L32; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L105
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet delete	Удалить — Subnets в Network Details: список, детали, Delete Subnet.	yes	Список вложен в сеть; IPv6 и другие поля зависят от настроек/расширений.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet.py#L435	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/tables.py#L110; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L105
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet list	Перечислить — Subnets в Network Details: список, детали, Delete Subnet.	yes	Список вложен в сеть; IPv6 и другие поля зависят от настроек/расширений.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet.py#L477	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/tables.py#L110; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L105
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet set	Изменить — Edit Subnet: name, gateway, DHCP, allocation pools, DNS nameservers, host routes.	partial	IPv6 modes при update скрыты; нет service types, segment, description/tags и ряда расширений.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet.py#L650	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/workflows.py#L94; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/workflows.py#L199
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet show	Показать — Subnets в Network Details: список, детали, Delete Subnet.	yes	Список вложен в сеть; IPv6 и другие поля зависят от настроек/расширений.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet.py#L743	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/tables.py#L110; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L105
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet unset	Снять параметры — Edit Subnet может убрать gateway, DNS/host routes и записи allocation pools.	partial	Нет снятия service types и tags; полностью пустой allocation_pools не отправляется, поэтому удаление последнего pool не покрыто. DNS/routes можно очистить.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet.py#L764	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/workflows.py#L199; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L340
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet pool create	Создать — Нет отдельной панели subnet pools.	no	При просмотре subnet читается только имя/id ее pool; это не просмотр pool prefixes, address scope, quotas и allocation attributes и не CRUD pool.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet_pool.py#L154	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L122; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet pool delete	Удалить — Нет отдельной панели subnet pools.	no	При просмотре subnet читается только имя/id ее pool; это не просмотр pool prefixes, address scope, quotas и allocation attributes и не CRUD pool.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet_pool.py#L225	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L122; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet pool list	Перечислить — Существующие subnet pools перечислены в Create Subnet.	partial	Dropdown для allocation, без самостоятельной таблицы pool ресурсов.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet_pool.py#L266	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet pool set	Изменить — Нет отдельной панели subnet pools.	no	При просмотре subnet читается только имя/id ее pool; это не просмотр pool prefixes, address scope, quotas и allocation attributes и не CRUD pool.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet_pool.py#L392	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L122; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet pool show	Показать — Нет отдельной панели subnet pools.	no	При просмотре subnet читается только имя/id ее pool; это не просмотр pool prefixes, address scope, quotas и allocation attributes и не CRUD pool.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet_pool.py#L463	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L122; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L247
neutron	python-openstackclient	7.4.0	openstack.network.v2	openstack subnet pool unset	Снять параметры — Нет отдельной панели subnet pools.	no	При просмотре subnet читается только имя/id ее pool; это не просмотр pool prefixes, address scope, quotas и allocation attributes и не CRUD pool.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/subnet_pool.py#L485	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/subnets/views.py#L122; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L247
glance	python-openstackclient	7.4.0	openstack.image.v2	openstack image add project	Добавление проекта в image membership	no	Visibility shared в Edit/Create Image не является интерфейсом управления members; таких действий в registry нет.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/image/v2/image.py#L227 | https://opendev.org/openstack/python-openstackclient/src/tag/7.4.0/openstackclient/image/v2/image.py#L227	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/static/app/core/images/actions/actions.module.js#L60 | https://opendev.org/openstack/horizon/src/tag/25.3.0/openstack_dashboard/static/app/core/images/actions/actions.module.js#L60
glance	python-openstackclient	7.4.0	openstack.image.v2	openstack image create	Создание image с загрузкой данных/метаданных; image из volume	yes	Create Image, metadata шаг; Upload to Image из Cinder volume. Режим загрузки/URL зависит от настроек; полный Glance import/stores workflow отсутствует.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/image/v2/image.py#L271 | https://opendev.org/openstack/python-openstackclient/src/tag/7.4.0/openstackclient/image/v2/image.py#L271	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/static/app/core/images/actions/actions.module.js#L113 | https://opendev.org/openstack/horizon/src/tag/25.3.0/openstack_dashboard/static/app/core/images/actions/actions.module.js#L113 ; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/static/app/core/images/actions/create.action.service.js#L46 | https://opendev.org/openstack/horizon/src/tag/25.3.0/openstack_dashboard/static/app/core/images/actions/create.action.service.js#L46 ; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/volumes/forms.py#L701 | https://opendev.org/openstack/horizon/src/tag/25.3.0/openstack_dashboard/dashboards/project/volumes/forms.py#L701 ; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/glance.py#L455 | https://opendev.org/openstack/horizon/src/tag/25.3.0/openstack_dashboard/api/glance.py#L455
glance	python-openstackclient	7.4.0	openstack.image.v2	openstack image delete	Удаление image	yes	Delete Image одиночно или bulk; удаление только из конкретного multistore не представлено отдельно.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/image/v2/image.py#L668 | https://opendev.org/openstack/python-openstackclient/src/tag/7.4.0/openstackclient/image/v2/image.py#L668	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/static/app/core/images/actions/actions.module.js#L104 | https://opendev.org/openstack/horizon/src/tag/25.3.0/openstack_dashboard/static/app/core/images/actions/actions.module.js#L104 ; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/static/app/core/images/actions/delete-image.service.js#L43 | https://opendev.org/openstack/horizon/src/tag/25.3.0/openstack_dashboard/static/app/core/images/actions/delete-image.service.js#L43
